,0,1,2,3
9total,2,3,0,2
þindicate,2,2,2,2
abandon,2,2,2,2
abandoning,2,2,2,2
abr,2,2,2,2
acceleration,2,8,8,4
accommodate,2,1,1,1
according,2,2,1,1
accountant,2,2,2,2
accrual,2,2,2,2
accrue,2,2,2,2
accrues,2,1,1,1
accumulation,2,2,2,2
accurate,2,2,2,2
achieved,2,1,1,2
acre,2,2,3,2
adapt,2,0,0,2
adding,2,3,1,2
adequately,2,2,2,2
adjacent,2,2,3,2
adjusts,2,0,1,0
advancements,2,2,2,2
advantage,2,1,1,1
affects,2,2,2,3
affiliate,2,2,3,2
affiliated,2,2,3,2
agree,2,3,2,3
alleged,2,2,2,2
allegedly,2,2,2,2
alter,2,1,1,1
altogether,2,2,2,2
analyzing,2,3,1,2
annualized,2,2,7,2
annually,2,2,2,2
appears,2,2,2,2
apply,2,5,5,2
appreciation,2,2,2,2
approvals,2,3,3,3
arising,2,2,4,2
arithmetic,2,2,2,2
armed,2,2,2,2
asserted,2,2,2,2
assimilate,2,1,0,2
asu,2,39,56,15
attorney,2,2,2,2
attributed,2,1,7,1
authorizations,2,2,2,2
averageceilingprice,2,0,0,0
averagefloorprice,2,0,0,0
avoid,2,2,3,2
away,2,1,1,1
bachelor,2,2,2,2
ban,2,2,2,3
bankruptcy,2,4,4,3
bearing,2,2,2,2
begin,2,1,1,1
begun,2,1,0,1
belv,2,0,0,0
beneficiary,2,2,2,2
better,2,5,0,3
bickle,2,2,2,2
black,2,2,1,2
blended,2,0,0,2
bond,2,2,2,2
bonding,2,1,1,1
bonuses,2,0,0,1
book,2,2,1,1
booked,2,2,2,2
borrowed,2,1,0,1
borrower,2,2,0,2
brand,2,2,2,2
breeding,2,2,1,2
british,2,2,3,2
btu,2,2,1,2
businesses,2,2,2,2
butane,2,3,3,3
california,2,2,1,2
capacities,2,2,2,2
capitalization,2,2,4,2
carryforward,2,3,1,2
cashwe,2,2,1,2
casing,2,2,2,2
categorized,2,2,2,2
challenged,2,3,1,1
chapter,2,2,2,2
characteristics,2,2,2,2
charged,2,2,2,2
circuit,2,4,5,2
city,2,2,2,2
claim,2,1,1,2
clarification,2,0,0,1
collarscontract,2,1,2,0
collected,2,3,2,2
commenced,2,2,3,2
comments,2,1,1,1
commissions,2,5,4,2
comparability,2,2,2,2
composed,2,1,1,2
computation,2,2,1,2
concentrated,2,2,2,2
concentrations,2,2,2,2
concerns,2,1,1,2
concurrent,2,0,0,2
confidential,2,2,3,2
conform,2,1,9,3
conservative,2,0,0,2
consisting,2,5,2,3
constant,2,1,1,2
consumer,2,1,2,1
consummated,2,1,2,1
consumption,2,2,2,2
containment,2,2,1,2
contingencies,2,3,4,4
contractors,2,2,2,2
contractscurrent,2,2,2,2
contractsnoncurrent,2,2,2,2
contributing,2,1,1,1
contributory,2,2,2,2
conversions,2,3,4,2
converted,2,4,5,0
converts,2,2,1,2
corp,2,2,0,2
cost2,2,2,2,2
costly,2,2,2,2
costs288,2,0,0,0
costs6,2,0,0,0
coststhe,2,1,0,2
counter,2,0,0,0
covers,2,1,1,2
creation,2,3,2,2
creditworthy,2,0,0,0
crews,2,2,6,2
currencies,2,2,2,2
curtailment,2,3,2,3
curve,2,2,2,2
cycle,2,3,3,3
datathe,2,2,2,2
declining,2,4,2,1
deduction,2,2,1,3
deferring,2,2,2,3
deficiencies,2,2,4,2
deficiency,2,8,9,12
delaying,2,2,2,2
deloitte,2,0,0,0
demographics,2,1,1,1
depends,2,2,2,2
deployed,2,1,1,1
depreciated,2,2,2,2
derives,2,2,2,2
designate,2,1,2,2
desired,2,2,2,2
details,2,1,1,2
detect,2,2,2,2
detected,2,2,2,2
determining,2,4,4,2
diesel,2,2,2,2
differs,2,2,5,1
directed,2,1,3,1
disadvantage,2,2,2,2
disagreements,2,2,2,2
discontinue,2,2,2,2
discourage,2,2,2,2
disposition,2,3,4,3
disruptions,2,2,5,2
distracted,2,1,1,2
diversification,2,2,2,2
divestituresdrilling,2,0,0,0
documents,2,2,3,2
draft,2,0,0,3
drained,2,2,2,2
dramatically,2,1,1,2
driving,2,1,2,2
dropped,2,0,0,4
duly,2,2,2,2
duration,2,3,3,3
earlier,2,6,7,3
economies,2,2,2,2
effectively,2,3,4,3
efficiently,2,1,1,2
el,2,1,0,2
electronically,2,2,2,2
elimination,2,2,0,2
emitters,2,2,2,2
emphasizes,2,2,1,2
endangerment,2,1,1,1
enforced,2,2,2,2
enforcement,2,2,2,2
engaging,2,3,3,3
enhancements,2,1,1,2
enterprise,2,0,0,0
entirely,2,1,1,2
escalations,2,3,3,2
essential,2,1,1,1
establish,2,3,4,2
establishes,2,0,0,0
establishing,2,3,3,2
estimatesour,2,2,1,2
ethane,2,3,3,5
eurodollar,2,2,2,2
evaluates,2,2,3,2
evidenced,2,1,1,2
evolving,2,2,2,2
exception,2,1,0,0
exceptions,2,0,0,1
exclude,2,3,3,2
exempts,2,0,0,0
exercises,2,0,0,0
exists,2,2,1,2
expanded,2,3,3,1
expense32,2,0,0,0
expense44,2,0,0,0
expirations,2,3,6,3
expiring,2,1,0,1
explained,2,0,0,0
exposed,2,2,2,2
extended,2,1,8,5
extensive,2,3,2,2
extensively,2,2,2,2
external,2,2,3,2
facilitating,2,2,2,2
facts,2,2,2,2
far,2,1,1,2
fault,2,2,2,2
favorable,2,3,2,4
feature,2,1,1,1
finalized,2,11,12,6
finance,2,2,3,2
firmthe,2,2,0,2
focuses,2,2,1,2
footage,2,2,2,2
force,2,2,4,2
forced,2,2,2,2
forecasts,2,3,3,2
foreseeable,2,2,2,3
fractured,2,2,2,2
frequency,2,2,2,2
frequent,2,2,2,2
frozen,2,0,1,2
function,2,1,0,2
furthermore,2,1,1,1
gardiner,2,0,0,2
gasoline,2,2,3,1
gbm,2,2,3,2
generated,2,4,8,4
generation,2,3,2,2
geologists,2,2,2,2
geoscience,2,2,2,2
giving,2,2,3,1
grade,2,3,2,2
gradually,2,1,1,1
graph,2,2,2,2
ground,2,2,2,2
groups,2,5,3,3
gwp,2,2,2,2
headcount,2,5,2,4
historically,2,1,1,1
horizontally,2,2,2,2
house,2,0,0,1
houston,2,2,2,2
hsc,2,1,4,2
hurricanes,2,2,2,2
hypothetical,2,3,2,2
immaterial,2,0,1,1
implied,2,2,2,2
incapable,2,2,2,2
increase6,2,2,2,2
incurring,2,2,2,2
indenture,2,12,12,4
indicate,2,1,2,3
indicates,2,2,2,2
indicating,2,2,2,2
indicators,2,2,1,2
indices,2,1,1,1
inflation,2,2,2,2
influence,2,2,3,2
input,2,2,1,2
insignificant,2,1,2,1
inspect,2,2,2,2
instability,2,2,2,2
installation,2,2,2,2
institutions,2,3,4,3
instrumentsthe,2,2,2,2
intangible,2,3,2,2
integrating,2,2,3,3
intend,2,4,2,2
intensive,2,1,1,1
interior,2,1,1,1
interpreted,2,2,2,2
interrupted,2,2,2,2
interstate,2,2,2,2
intraday,2,3,2,3
introduced,2,2,1,2
introduction,2,2,2,2
inventory,2,6,8,3
investigation,2,1,1,1
investigatory,2,2,2,2
investments100,2,2,2,2
issuers,2,2,2,2
judgments,2,2,3,2
justify,2,3,3,3
kind,2,0,2,1
landmen,2,2,2,2
largest,2,0,0,1
leaks,2,4,4,5
legality,2,2,2,2
leiker,2,2,2,2
length,2,2,2,2
leverage,2,0,2,2
lieu,2,4,2,2
likelihood,2,1,1,1
llp23,2,1,1,1
loan,2,2,3,2
log,2,2,2,2
lose,2,2,2,2
lowering,2,1,0,1
mact,2,2,2,2
managing,2,4,2,3
mandatory,2,0,0,0
marketability,2,4,3,2
matches,2,2,2,2
maturities,2,2,2,2
mbbls,2,7,0,2
mcfe,2,0,0,0
meaningful,2,0,0,0
meetings,2,2,2,2
member,2,2,2,2
mercantile,2,2,2,2
merton,2,2,0,2
methodologies,2,2,2,2
methodology,2,2,2,2
mexico,2,6,3,1
midstream,2,6,18,2
minerals,2,3,4,3
misstatement,2,1,2,1
modifications,2,2,2,1
monetary,2,2,5,2
monitor,2,2,2,2
mortgage,2,3,3,2
mortgages,2,2,1,4
motor,2,1,1,1
mountain3,2,0,0,1
mt,2,0,0,0
mud,2,2,2,2
narrow,2,4,3,2
nation,2,2,2,2
neshap,2,2,2,2
nesting,2,2,1,2
net1,2,1,1,0
netting,2,2,2,2
newer,2,2,2,2
newly,2,3,3,2
nng,2,1,0,2
nonperformance,2,1,1,2
nooindicate,2,2,0,2
occurrence,2,3,3,2
offered,2,2,2,2
offering,2,15,15,2
offsets,2,2,1,2
oindicate,2,2,4,2
operatorship,2,1,0,2
opinions,2,3,3,2
opposition,2,2,2,2
orderly,2,2,2,2
ordinances,2,2,2,2
outstanding67,2,0,0,4
outstanding68,2,0,0,0
owns,2,2,2,2
pace,2,1,0,2
paragraph,2,1,0,2
participate,2,1,1,0
participated,2,2,2,2
partnerships,2,2,2,2
paso,2,1,0,2
path,2,2,2,2
pays,2,2,2,1
peer,2,1,5,1
perceived,2,2,2,2
percentage73,2,0,0,1
percentages,2,0,1,0
permanent,2,4,1,2
pertain,2,2,2,2
peru,2,2,2,2
planunder,2,2,2,2
points,2,2,4,2
political,2,2,2,2
pooling,2,2,2,2
pools,2,1,1,2
pose,2,2,1,2
positioned,2,0,0,0
positive,2,4,4,6
practical,2,3,5,2
predicted,2,2,2,2
predicting,2,1,1,1
preferred,2,2,2,2
preliminary,2,4,0,0
prepared,2,3,4,3
preventing,2,2,2,2
prime,2,2,1,2
proceedings,2,2,4,2
processed,2,4,5,4
produces,2,1,1,1
professional,2,2,3,2
projections,2,2,2,2
promulgated,2,0,0,0
proper,2,2,2,2
properties272,2,0,0,0
propertiesproved,2,0,1,2
proposals,2,5,0,2
protect,2,1,1,1
protecting,2,0,0,0
protects,2,2,2,2
provision,2,1,1,1
publicly,2,2,1,3
pursuing,2,2,1,2
pursuit,2,3,2,3
qualitative,2,2,2,2
quantitative,2,2,2,2
quintana,2,2,2,2
quotes,2,1,1,2
ranged,2,2,1,4
rapid,2,1,1,1
rate5,2,1,1,1
rating,2,8,7,9
reached,2,0,2,1
realizable,2,2,1,2
receives,2,2,5,1
recommendations,2,3,2,2
reconciliations,2,1,3,2
recoverability,2,2,2,2
recoveries,2,1,1,2
redetermined,2,0,0,0
reduces,2,2,2,1
refers,2,3,2,2
regulates,2,1,1,1
regulating,2,1,2,1
regulators,2,1,1,1
relations,2,2,1,2
reliability,2,2,2,2
remains,2,2,2,2
remove,2,2,2,2
render,2,2,2,2
renewal,2,2,3,2
renewals,2,2,2,2
repair,2,5,5,2
representative,2,3,2,3
represented,2,8,7,13
reputation,2,2,2,2
resale,2,1,1,1
retainer,2,0,0,0
retired,2,1,3,2
returned,2,1,0,1
reveal,2,2,1,2
reversed,2,2,2,2
revisions261,2,0,0,0
robeson,2,2,2,2
rockymountain,2,2,2,2
rulemaking,2,1,1,1
saltwater,2,2,2,2
satisfactory,2,2,2,2
scale,2,0,0,0
scholes,2,2,1,2
seasonality,2,2,1,2
secure,2,2,2,2
seeks,2,2,0,2
seidl,2,0,0,0
sensitive,2,2,2,2
setting,2,4,3,1
severity,2,2,2,2
shales,2,1,0,1
sharing,2,2,3,2
sherman,2,2,2,2
shift,2,2,2,0
shifted,2,0,0,2
shorter,2,2,2,2
shortfall,2,2,0,2
signature,2,2,2,2
significance,2,1,1,1
similarly,2,3,3,2
simulation,2,2,3,2
skill,2,2,2,2
solomon,2,2,0,2
spur,2,2,1,2
stable,2,1,1,2
stationary,2,1,1,1
statistical,2,2,2,2
steps,2,3,2,2
straight,2,1,3,2
strategies,2,4,3,2
stronger,2,0,2,0
structural,2,2,2,2
submitted,2,2,2,2
subsidiary,2,2,2,1
substance,2,2,2,2
substantive,2,2,2,2
substitute,2,2,2,2
suffer,2,2,1,2
sullivan,2,2,2,2
superfund,2,2,2,2
supplementary,2,2,2,2
supplemented,2,0,0,0
supporting,2,1,0,1
surrender,2,2,2,2
susceptible,2,2,2,2
suspend,2,2,3,2
suspension,2,2,2,2
swingline,2,2,2,2
symbol,2,2,2,2
tanks,2,2,2,5
taxes3,2,0,1,0
taxes397,2,0,0,0
taxesthe,2,2,1,2
team,2,2,2,1
telephone,2,2,2,2
temperature,2,2,2,2
temporary,2,2,2,2
terminated,2,2,1,2
terrorism,2,2,3,2
tet,2,3,3,2
ticker,2,2,2,2
tornadoes,2,2,2,2
totaling,2,11,8,7
touche,2,0,0,0
toxic,2,2,2,2
training,2,1,1,2
transport,2,2,2,2
unaudited,2,2,2,2
uncleared,2,0,0,0
uncommon,2,2,2,2
underfunded,2,2,2,2
undersigned,2,2,2,2
unexpected,2,2,2,2
unitization,2,2,2,2
unknown,2,3,3,2
unobservable,2,1,0,1
unpermitted,2,2,2,2
unqualified,2,2,2,2
unweighted,2,2,2,2
updated,2,3,5,2
usa,2,1,0,1
user,2,0,0,0
utilizes,2,1,1,1
valuenon,2,2,2,2
variables,2,2,2,2
vehicles,2,1,1,1
venting,2,7,5,6
ventura,2,1,0,2
vessels,2,2,2,2
view,2,0,0,0
voluntarily,2,2,2,2
voting,2,2,2,2
wachovia,2,2,2,2
warrant,2,4,4,3
warrants,2,2,2,2
waves,2,2,2,2
western,2,1,4,2
william,2,1,1,2
willing,2,3,3,3
wolfberry,2,0,0,0
woodford,2,0,0,0
workover,2,2,1,3
worldwide,2,2,0,2
worsen,2,0,0,0
written,2,3,0,2
www,2,2,3,2
yesþ,2,2,0,2
zone,2,2,2,3
2,1,0,2,0
4,1,3,1,2
12,1,0,3,1
15,1,1,0,2
16,1,1,3,1
17,1,1,0,0
24,1,0,6,0
29,1,0,1,2
34,1,2,1,3
38,1,2,0,0
39,1,0,0,0
42,1,1,0,1
43,1,0,0,1
45,1,2,0,2
46,1,1,0,1
47,1,2,4,1
48,1,0,2,1
50,1,1,1,1
53,1,2,0,1
56,1,0,2,0
58,1,2,0,1
59,1,3,3,4
64,1,1,1,1
66,1,0,4,1
81,1,1,0,0
86,1,0,3,1
90,1,5,0,5
92,1,0,0,0
96,1,3,0,0
98,1,0,0,0
102,1,3,5,4
109,1,2,1,0
112,1,3,7,1
114,1,2,7,2
123,1,5,6,2
127,1,1,2,1
135,1,6,11,5
140,1,3,0,2
141,1,4,1,1
150,1,0,3,0
156,1,3,1,1
157,1,5,0,3
158,1,5,11,2
161,1,4,8,1
171,1,2,2,1
176,1,1,5,0
177,1,1,2,3
178,1,3,6,1
186,1,0,2,1
193,1,0,0,1
196,1,1,3,1
204,1,0,0,4
206,1,2,1,1
209,1,0,1,1
212,1,3,2,2
213,1,3,0,0
216,1,3,3,2
218,1,3,5,0
221,1,0,0,2
229,1,2,3,1
231,1,1,0,1
234,1,3,5,6
240,1,3,1,1
258,1,1,8,2
259,1,0,2,2
262,1,2,3,2
267,1,3,2,3
272,1,4,4,2
280,1,1,5,1
283,1,3,2,2
294,1,2,2,1
299,1,2,1,0
301,1,0,2,1
307,1,5,0,2
309,1,0,4,1
313,1,1,8,1
319,1,0,1,0
324,1,0,1,1
327,1,3,5,1
330,1,1,0,0
334,1,3,3,3
339,1,1,1,1
342,1,1,2,3
344,1,0,5,2
345,1,2,1,4
352,1,4,3,3
353,1,3,2,2
361,1,1,0,0
371,1,3,0,1
378,1,1,5,3
380,1,1,3,0
381,1,2,0,1
384,1,0,0,2
387,1,2,2,2
388,1,1,0,1
393,1,3,1,1
403,1,4,5,2
404,1,1,1,1
406,1,0,4,0
415,1,1,2,4
418,1,2,0,0
433,1,3,2,3
434,1,2,2,1
435,1,3,0,2
436,1,3,1,0
437,1,6,5,0
438,1,1,1,1
440,1,1,0,1
441,1,0,1,1
444,1,5,6,1
445,1,1,0,1
447,1,12,4,11
451,1,0,1,0
452,1,0,1,0
454,1,0,0,0
459,1,0,3,2
460,1,0,1,1
461,1,3,0,1
464,1,2,3,1
476,1,1,4,2
479,1,0,0,0
492,1,3,9,2
494,1,0,4,0
497,1,3,7,0
501,1,3,1,0
503,1,0,5,2
506,1,1,1,0
507,1,0,4,0
512,1,5,1,3
520,1,0,0,2
523,1,1,3,1
524,1,1,1,1
525,1,5,0,5
530,1,3,3,1
531,1,1,2,0
533,1,1,3,1
535,1,0,0,0
536,1,0,2,1
538,1,0,1,4
543,1,1,1,3
546,1,2,1,3
548,1,0,0,0
551,1,1,0,1
556,1,8,2,3
558,1,0,0,1
560,1,2,0,1
562,1,4,1,0
582,1,3,1,2
595,1,3,7,1
596,1,0,0,0
601,1,1,1,0
611,1,3,9,2
612,1,4,0,3
626,1,2,1,1
629,1,2,6,2
634,1,2,1,1
636,1,2,5,0
642,1,1,4,2
644,1,4,2,3
653,1,0,0,1
655,1,0,0,1
670,1,1,0,1
672,1,3,0,0
674,1,0,2,1
682,1,4,0,3
686,1,1,0,2
687,1,1,2,1
689,1,1,1,2
692,1,2,0,1
702,1,0,0,1
703,1,2,0,1
704,1,2,1,1
706,1,0,0,1
707,1,1,1,1
709,1,1,0,1
710,1,12,1,11
712,1,0,0,0
716,1,2,1,2
718,1,3,2,2
721,1,0,3,1
730,1,0,2,2
735,1,0,2,1
736,1,3,1,1
739,1,0,0,0
745,1,3,3,1
746,1,1,2,1
747,1,0,2,1
755,1,0,1,0
757,1,10,10,0
768,1,0,1,1
769,1,3,4,4
772,1,3,1,4
773,1,0,0,1
777,1,2,1,1
792,1,0,0,0
798,1,1,1,1
799,1,1,0,0
805,1,5,4,2
807,1,2,0,3
814,1,2,0,3
819,1,4,1,2
821,1,0,2,0
826,1,1,1,1
827,1,0,0,0
830,1,1,0,2
831,1,4,1,7
840,1,0,1,0
845,1,3,2,1
848,1,0,0,0
850,1,0,0,1
860,1,0,3,0
862,1,0,3,1
868,1,0,0,7
871,1,2,1,1
878,1,1,1,1
882,1,2,0,0
886,1,0,0,0
887,1,0,1,0
894,1,1,2,1
895,1,0,0,1
898,1,1,2,1
900,1,5,2,0
902,1,0,0,1
909,1,0,2,0
911,1,2,1,1
914,1,0,1,0
915,1,1,0,1
916,1,2,3,1
923,1,3,3,0
926,1,0,1,1
927,1,0,0,1
930,1,0,1,0
931,1,0,1,0
936,1,1,1,1
938,1,4,3,3
941,1,0,1,0
948,1,0,0,1
949,1,3,2,6
950,1,5,0,2
951,1,1,0,2
955,1,2,0,0
969,1,0,3,2
970,1,5,6,3
975,1,1,2,1
976,1,1,0,0
977,1,0,4,0
979,1,1,0,1
980,1,0,0,1
981,1,2,0,2
986,1,1,2,1
992,1,0,0,1
993,1,1,1,1
995,1,0,3,0
1350,1,1,1,1
1494,1,0,0,0
1908,1,1,1,1
1915,1,1,1,1
1933,1,1,1,1
1940,1,1,0,1
1974,1,1,1,1
1979,1,1,0,1
1981,1,1,0,1
1990,1,1,1,1
2001,1,0,0,0
2021,1,0,0,0
2022,1,0,0,1
2026,1,18,13,1
2031,1,1,0,1
2032,1,0,0,0
2035,1,0,0,0
3620,1,0,0,0
4682,1,0,0,1
14810,1,1,0,0
15010,1,1,0,1
15110,1,0,0,0
15212,1,0,0,0
20144,1,0,0,0
20155,1,0,0,0
22016,1,0,0,0
30-Mar,1,0,0,0
16-May,1,0,0,0
22-Jun,1,0,0,0
62016,1,0,0,0
119401,1,0,0,0
122017,1,0,0,0
152016,1,0,0,0
162018,1,0,0,0
200231,1,1,0,1
200232,1,1,1,1
200299,1,1,1,1
201264,1,0,0,0
201266,1,0,0,0
201272,1,0,0,0
201367,1,0,0,2
201369,1,0,0,0
201467,1,2,0,1
212019,1,0,0,0
462017,1,0,0,0
518430,1,1,1,1
722012,1,0,0,0
1052012,1,0,0,0
1112023,1,0,0,0
2014124,1,0,0,0
2014866,1,0,0,0
2015103,1,0,0,0
2016101,1,0,0,0
2016103,1,0,0,0
2017102,1,0,0,0
2017103,1,0,0,0
2018101,1,0,0,0
2018103,1,0,0,0
2020100,1,0,0,0
2042020,1,0,0,0
2902021,1,0,0,0
3202018,1,0,0,0
5582019,1,0,0,0
6252022,1,0,0,0
8662019,1,0,0,0
8962017,1,0,0,0
8972016,1,0,0,0
9212018,1,0,0,0
20142013,1,0,0,0
00____________________________________________,1,0,0,0
000asset,1,0,0,0
000in,1,0,0,0
000mid,1,0,1,1
000permian,1,1,1,1
000repayment,1,0,1,1
000rocky,1,1,0,1
000south,1,1,1,1
000the,1,0,0,0
00140the,1,0,0,0
005changes,1,0,0,0
00march,1,0,0,1
014141quarterly,1,0,0,0
014the,1,0,0,0
018adjusted,1,0,0,0
018depletion,1,0,0,0
01all,1,0,0,0
020offsetting,1,0,0,0
024texas304,1,0,0,0
027other72,1,0,0,0
030total,1,0,0,0
03fourth,1,0,0,0
040conversion,1,0,0,0
040sales,1,0,0,0
04total,1,0,0,0
051other,1,2,0,1
05ngls,1,0,0,0
061issuance,1,1,0,1
06drilling,1,0,0,0
06non,1,1,0,0
06opis,1,0,0,0
06third,1,0,0,0
072other,1,0,0,0
08ngls,1,0,0,0
0add,1,0,0,0
0equivalent,1,0,0,0
0exploratory,1,0,1,0
0interest,1,0,1,1
0mmboe,1,1,1,0
0ngls,1,1,1,1
0permian1,1,0,0,1
0proved,1,1,0,1
0sales,1,0,0,0
0total,1,0,2,2
0transportation,1,0,0,0
1____________________________________________note,1,0,1,0
100as,1,0,0,0
100reclassifications,1,0,0,0
100the,1,1,0,0
100wells,1,0,0,0
101the,1,0,0,0
102off,1,0,0,0
102operating,1,0,0,0
102the,1,0,0,0
103note,1,0,0,1
103standardized,1,0,0,0
1055supplemental,1,0,0,0
106note,1,0,0,1
107company,1,0,0,0
108the,1,0,1,0
109the,1,0,0,0
10as,1,1,0,1
10b,1,1,1,1
10diluted,1,0,0,0
10dividends,1,0,0,0
10k,1,0,0,0
10realized,1,0,0,0
10ssm,1,0,0,0
110on,1,0,0,1
112additionally,1,0,0,0
113note,1,0,0,0
114note,1,0,0,0
115a,1,1,0,1
116restricted,1,0,0,0
117stock,1,0,0,0
118director,1,0,0,0
118ending,1,0,0,0
118net,1,0,0,0
119income,1,0,0,1
11required,1,0,0,0
120cash,1,0,0,0
122pre,1,0,0,0
123pension,1,0,0,0
124fair,1,0,0,0
125current,1,0,0,0
125derivative,1,0,0,0
126benefit,1,0,0,0
127note,1,0,0,0
128natural,1,0,0,0
129derivative,1,0,0,0
12productive,1,0,0,0
130discontinuance,1,0,0,0
131the,1,0,0,0
132the,1,0,0,0
133the,1,1,0,1
134the,1,0,0,0
135pricing,1,0,0,0
136____________________________________________,1,1,0,1
136during,1,0,0,0
136net,1,0,0,0
136unrecognized,1,0,0,0
137supplemental,1,0,0,0
138add,1,0,0,0
138diluted,1,0,0,0
138repayment,1,0,0,0
138the,1,0,0,0
139respectively,1,0,0,0
13acreagethe,1,0,0,0
13diluted,1,0,0,0
13semployee,1,0,0,0
142our,1,0,0,0
143management,1,0,0,0
144report,1,0,0,0
146securities,1,0,0,0
147item,1,0,0,0
148part,1,0,0,0
14a,1,2,3,1
14major,1,0,0,0
153signaturespursuant,1,0,0,0
154signature,1,0,0,0
15production,1,0,0,0
15title,1,0,0,0
165the,1,0,0,0
169amounts,1,0,0,0
16drilling,1,0,0,0
170exploration,1,0,0,0
177for,1,0,0,0
177montana50,1,0,0,0
177vested,1,0,0,0
178unproved,1,0,0,0
17amortization,1,1,0,1
17environmental,1,0,0,0
184april,1,1,0,1
184december,1,1,0,1
184july,1,1,0,1
184november,1,1,0,1
184october,1,1,0,1
184total,1,1,1,1
184total126,1,0,0,0
185balances,1,0,0,0
185change,1,0,0,0
186as,1,0,0,0
186stock,1,0,0,1
18snet,1,0,0,0
18we,1,0,0,0
191____________________________________________,1,0,0,0
192____________________________________________,1,0,0,1
1934commission,1,1,1,1
1934for,1,1,1,1
194cash,1,0,0,0
19activities,1,0,0,0
19all,1,0,0,0
19ssm,1,0,0,0
1add,1,0,2,0
1depletion,1,0,0,1
1gas,1,0,0,2
1general,1,0,0,1
1indenture,1,1,1,1
1lease,1,0,0,0
1mmboe,1,0,1,1
1ngls,1,1,2,1
1production,1,0,1,0
1proved,1,0,1,1
1purchase,1,0,0,0
1restated,1,1,1,1
1standardized,1,0,0,0
1table,1,1,1,1
1the,1,0,1,0
1used,1,0,0,0
2012cash,1,0,0,0
2012crude,1,0,0,0
2012oil,1,0,0,0
2012operating,1,0,0,0
2012projected,1,0,0,0
2012reserve,1,0,0,0
2012risk,1,0,0,0
2012summary,1,0,0,0
2012weighted,1,0,0,0
2013equity,1,0,0,0
2013summary,1,0,0,1
20141231x10k,1,0,0,0
2014average,1,0,0,0
2014nymex,1,0,0,0
2014purchase,1,0,0,1
2015145item,1,0,0,0
2015a,1,0,0,0
2015anthony,1,0,0,0
2015by,1,0,0,0
2015javan,1,0,0,0
2015john,1,0,0,0
2015julio,1,0,0,0
2015larry,1,0,0,0
2015loren,1,0,0,0
2015mark,1,0,0,0
2015ramiro,1,0,0,0
2015rose,1,0,0,0
2015stephen,1,0,0,0
202total,1,0,0,0
20549form,1,1,1,1
208total,1,1,0,0
20for,1,0,0,0
213other19,1,0,0,0
216exploration,1,0,0,0
21e,1,1,1,1
21from,1,0,0,0
21general,1,0,0,0
21ngls,1,0,0,0
220interest,1,0,0,0
22second,1,0,0,0
232realized,1,0,0,1
237deferred,1,0,0,0
237service,1,0,0,0
239tax,1,0,0,1
23glossary,1,0,0,0
243future,1,0,0,0
245total,1,0,0,0
248accounts,1,0,0,0
248impairment,1,0,0,0
24b,1,1,1,1
24fourth,1,0,0,0
24incurred,1,0,0,0
253total,1,0,0,0
254actual,1,0,0,0
25fourth,1,0,0,0
25gas,1,0,0,0
25mmboe,1,0,0,0
264amortization,1,0,0,0
268net,1,0,0,0
26gathering,1,0,0,0
26reserve,1,0,0,0
26third,1,0,0,0
270employee,1,0,0,0
278note,1,0,0,0
27a,1,1,1,1
27gas,1,0,0,0
27royalty,1,0,0,1
280oil,1,0,0,0
289income,1,0,0,0
28all,1,0,0,0
28item,1,0,0,1
29____________________________________________note,1,0,0,0
291interest,1,0,0,1
296accrued,1,0,0,0
29these,1,0,0,0
2acquisition,1,0,0,0
2amended,1,0,1,1
2end,1,1,0,1
2gas476,1,0,0,0
2indenture,1,1,1,1
2production,1,1,0,0
2proved,1,0,0,0
2rocky,1,0,0,0
2total,1,0,0,0
3____________________________________________,1,0,0,0
30abandonment,1,0,0,0
30all,1,0,0,0
30fourth,1,0,0,0
30second,1,0,0,0
30third,1,0,0,0
315____________________________________________,1,0,0,0
31539sm,1,1,1,1
316additionally,1,0,0,0
317settlements,1,0,0,0
31to,1,0,0,0
322wyoming59,1,0,0,0
327hedge,1,0,0,0
32drilling,1,0,0,0
32you,1,0,0,0
336income,1,0,0,1
33general,1,0,0,0
33granted234,1,0,0,0
33integrating,1,0,0,0
341net,1,0,0,0
342general,1,0,0,0
342stock,1,0,0,0
347other,1,0,0,1
34exploration,1,0,0,0
35drilling,1,0,0,0
35non,1,0,0,0
35production,1,0,0,0
35results,1,0,0,0
360unproved,1,0,0,0
36fifth,1,0,0,0
36uncertainties,1,0,0,0
370deferred,1,0,0,0
371accounts,1,0,0,0
371derivative,1,0,0,0
374expected,1,0,0,0
375capital,1,0,0,0
376less,1,0,0,0
37in,1,0,0,0
380commodity,1,0,0,0
380deferred,1,0,0,0
384purchases742realized,1,0,0,0
38lower,1,0,0,0
396less,1,0,0,0
39production,1,0,0,0
39transportation,1,0,0,0
39unable,1,0,0,0
3acquisitions,1,0,0,0
3end,1,0,0,0
3exploration,1,1,0,0
3exploratory,1,0,0,1
3first,1,0,0,0
3general,1,1,0,0
3indenture,1,1,1,1
3long,1,0,0,0
3oil,1,0,0,1
3other,1,0,0,0
3realized,1,0,0,1
3rocky,1,0,0,1
3total,1,0,0,0
401income,1,0,0,0
401joint,1,0,0,0
409a,1,1,1,1
40our,1,0,0,0
41assets,1,0,0,0
41september,1,0,0,1
421____________________________________________125,1,0,0,0
